id,name,category,price,stock,description,indication,dosage,ingredients,benefits,side_effects,expiry,type,photo,is_active,tags
2440,Komix Jeruk Nipis Sachet,Obat Batuk,1500.0,295,"Dextromethorphan, Guaifenesin",Batuk ringan; Gejala terkait: batuk ringan; batuk gatal,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Dextromethorphan, Guaifenesin",Batuk ringan; batuk ringan; batuk gatal; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Mengantuk,2028-12-31,Sachet,https://placehold.co/400x300/f8fafc/3b82f6?text=Komix+Jeruk+Nipis+Sachet,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2441,Dermatix Ultra Gel 15g,Obat Kulit & Luka,250000.0,36,"Cyclopentasiloxane, Vitamin C Ester",Menyamarkan bekas luka menonjol (keloid); Gejala terkait: bekas luka; keloid; salep bekas jerawat,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Cyclopentasiloxane, Vitamin C Ester",Menyamarkan bekas luka menonjol (keloid); bekas luka; keloid; salep bekas jerawat; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2026-12-31,Topikal,https://placehold.co/400x300/f8fafc/ec4899?text=Dermatix+Ultra+Gel+15g,False,"[""otc"",""indonesia"",""chatbot-ready""]"
2442,Oralit Tube 10g,Pencernaan & Diare,1000.0,477,"Glukosa, Elektrolit",Rehidrasi oral; Gejala terkait: dehidrasi diare; oralit,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan.,"Glukosa, Elektrolit",Rehidrasi oral; dehidrasi diare; oralit; Gunakan sesuai petunjuk pada kemasan.,Mual bila terlalu cepat diminum,2028-12-31,Produk,https://placehold.co/400x300/f8fafc/f59e0b?text=Oralit+Tube+10g,False,"[""otc"",""indonesia"",""chatbot-ready""]"
2443,CTM Tablet 4mg,Alergi & Gatal,2000.0,361,Chlorpheniramine Maleate,Obat anti alergi generasi pertama; Gejala terkait: obat tidur alergi; gatal parah,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Chlorpheniramine Maleate,Obat anti alergi generasi pertama; obat tidur alergi; gatal parah; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Sangat mengantuk,2028-03-15,Tablet,https://placehold.co/400x300/f8fafc/8b5cf6?text=CTM+Tablet+4mg,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2444,Daktarin Diaper Cream,Antijamur & Kulit,75000.0,50,Miconazole Nitrate 2%,Infeksi jamur kulit dan lipatan; Gejala terkait: jamur selangkangan; kutu air; bedak jamur,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Miconazole Nitrate 2%,Infeksi jamur kulit dan lipatan; jamur selangkangan; kutu air; bedak jamur; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Iritasi ringan,2026-12-31,Topikal,https://placehold.co/400x300/f8fafc/14b8a6?text=Daktarin+Diaper+Cream,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2445,Ultraflu Extra,Flu & Pilek,5000.0,100,"Paracetamol, Phenylpropanolamine, CTM",Gejala flu dan pilek; Gejala terkait: flu; bersin,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Paracetamol, Phenylpropanolamine, CTM",Gejala flu dan pilek; flu; bersin; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Mengantuk,2028-12-31,Produk,https://placehold.co/400x300/f8fafc/06b6d4?text=Ultraflu+Extra,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2446,CDR Tube 15 Tablet,Vitamin & Suplemen,68000.0,65,"Kalsium, Vitamin C, D, B6","Kesehatan tulang, gigi, dan imun; Gejala terkait: kalsium; tulang kuat; ibu hamil",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Kalsium, Vitamin C, D, B6","Kesehatan tulang, gigi, dan imun; kalsium; tulang kuat; ibu hamil; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Kembung (karena gas effervescent),2028-12-31,Tablet,https://placehold.co/400x300/f8fafc/eab308?text=CDR+Tube+15+Tablet,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2447,Otopain Box 100s,Mata & Telinga,520000.0,86,"Polymyxin B, Neomycin, Fludrocortisone, Lidocaine",Infeksi dan nyeri telinga; Gejala terkait: telinga bernanah; sakit telinga,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan.,"Polymyxin B, Neomycin, Fludrocortisone, Lidocaine",Infeksi dan nyeri telinga; telinga bernanah; sakit telinga; Gunakan sesuai petunjuk pada kemasan.,Rasa terbakar sementara,2026-12-31,Produk,https://placehold.co/400x300/f8fafc/0ea5e9?text=Otopain+Box+100s,False,"[""otc"",""indonesia"",""chatbot-ready""]"
2448,Konidin Sirup,Obat Batuk,18000.0,476,"Guaifenesin, Dextromethorphan, CTM",Batuk alergi; Gejala terkait: batuk alergi; gatal tenggorokan,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Guaifenesin, Dextromethorphan, CTM",Batuk alergi; batuk alergi; gatal tenggorokan; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Sangat mengantuk,2027-06-30,Sirup,https://placehold.co/400x300/f8fafc/3b82f6?text=Konidin+Sirup,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2449,SP Troches Strawberry Strip 12s,Mulut & Tenggorokan,15000.0,201,Dequalinium Chloride,Infeksi jamur/bakteri ringan di mulut; Gejala terkait: permen sariawan; permen sakit tenggorokan,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Dequalinium Chloride,Infeksi jamur/bakteri ringan di mulut; permen sariawan; permen sakit tenggorokan; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Lidah terasa kesat,2028-03-15,Produk,https://placehold.co/400x300/f8fafc/d946ef?text=SP+Troches+Strawberry+Strip+12s,True,"[""otc"",""indonesia"",""chatbot-ready""]"
