id,name,category,price,stock,description,indication,dosage,ingredients,benefits,side_effects,expiry,type,photo,is_active,tags
2942,Panadol Regular,Nyeri & Demam,12000.0,390,Paracetamol 500mg,"Demam, sakit kepala, nyeri ringan; Gejala terkait: demam; sakit kepala; nyeri",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 500mg,"Demam, sakit kepala, nyeri ringan; demam; sakit kepala; nyeri; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Jarang: ruam kulit,2027-06-30,Produk,/static/medicines/Panadol Regular.jpg,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2943,Panadol Extra,Nyeri & Demam,15000.0,170,"Paracetamol 500mg, Caffeine 65mg","Sakit kepala, migrain, demam; Gejala terkait: migrain; sakit kepala berat",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Paracetamol 500mg, Caffeine 65mg","Sakit kepala, migrain, demam; migrain; sakit kepala berat; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Berdebar (dosis tinggi),2028-12-31,Produk,/static/medicines/Panadol Extra.jpg,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2944,Panadol Biru,Nyeri & Demam,12000.0,209,Paracetamol 500mg,Demam dan nyeri ringan; Gejala terkait: demam; nyeri,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 500mg,Demam dan nyeri ringan; demam; nyeri; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2028-03-15,Produk,/static/medicines/Panadol Biru.jpg,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2945,Panadol Cold & Flu,Nyeri & Demam,18500.0,271,"Paracetamol 500mg, Phenylephrine 5mg","Flu, demam, hidung tersumbat; Gejala terkait: flu; demam; hidung tersumbat",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,"Paracetamol 500mg, Phenylephrine 5mg","Flu, demam, hidung tersumbat; flu; demam; hidung tersumbat; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Mengantuk ringan,2028-12-31,Produk,/static/medicines/Panadol Cold & Flu.jpg,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2946,Panadol Anak Sirup,Nyeri & Demam,32000.0,468,Paracetamol 120mg/5ml,Demam dan nyeri pada anak; Gejala terkait: demam anak; panas bayi,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 120mg/5ml,Demam dan nyeri pada anak; demam anak; panas bayi; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2026-12-31,Sirup,/static/medicines/Panadol Anak Sirup.jpg,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2947,Panadol Box 100s,Nyeri & Demam,85000.0,62,Paracetamol 500mg,"Demam, sakit kepala, nyeri ringan; Gejala terkait: panadol isi banyak; demam",Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 500mg,"Demam, sakit kepala, nyeri ringan; panadol isi banyak; demam; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.",Jarang,2027-06-30,Produk,/static/medicines/Panadol Box 100s.jpg,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2948,Sanmol Strip 4s,Nyeri & Demam,6000.0,492,Paracetamol 500mg,Demam dan nyeri ringan; Gejala terkait: demam; panas; nyeri,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 500mg,Demam dan nyeri ringan; demam; panas; nyeri; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang: ruam kulit,2026-12-31,Produk,/static/medicines/Sanmol Strip 4s.jpg,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2949,Sanmol Sirup,Nyeri & Demam,22000.0,395,Paracetamol 120mg/5ml,Demam anak; Gejala terkait: demam anak; panas anak,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 120mg/5ml,Demam anak; demam anak; panas anak; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2028-12-31,Sirup,/static/medicines/Sanmol Sirup.jpg,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2950,Sanmol Forte Sirup,Nyeri & Demam,28000.0,250,Paracetamol 250mg/5ml,Demam tinggi anak; Gejala terkait: demam tinggi anak,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 250mg/5ml,Demam tinggi anak; demam tinggi anak; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2026-12-31,Sirup,/static/medicines/Sanmol Forte Sirup.jpg,True,"[""otc"",""indonesia"",""chatbot-ready""]"
2951,Sanmol Drops,Nyeri & Demam,35000.0,108,Paracetamol 100mg/ml,Demam bayi; Gejala terkait: demam bayi; panas bayi,Sesuai aturan pakai pada kemasan. Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Paracetamol 100mg/ml,Demam bayi; demam bayi; panas bayi; Gunakan sesuai petunjuk pada kemasan. Jika sakit berlanjut hubungi dokter.,Jarang,2026-12-31,Produk,/static/medicines/Sanmol Drops.jpg,True,"[""otc"",""indonesia"",""chatbot-ready""]"
