id,name,category,price,stock,description,indication,dosage,ingredients,benefits,side_effects,expiry,type,photo,is_active,tags
6461,Panadol Regular,Nyeri & Demam,22848.0,75,Paracetamol 500mg,"Demam, sakit kepala, nyeri ringan",Dosis sesuai anjuran dokter. Haleon,Paracetamol 500mg,"Demam, sakit kepala, nyeri ringan",Jarang: ruam kulit,2028-03-15,Tablet,/static/medicines/Panadol Regular.jpg,True,[]
6462,Panadol Extra,Nyeri & Demam,8373.0,120,"Paracetamol 500mg, Caffeine 65mg","Sakit kepala, migrain, demam",Dosis sesuai anjuran dokter. Haleon,"Paracetamol 500mg, Caffeine 65mg","Sakit kepala, migrain, demam",Berdebar (dosis tinggi),2027-11-20,Tablet,/static/medicines/Panadol Extra.jpg,True,[]
6463,Panadol Biru,Nyeri & Demam,9975.0,107,Paracetamol 500mg,Demam dan nyeri ringan,Dosis sesuai anjuran dokter. Haleon,Paracetamol 500mg,Demam dan nyeri ringan,Jarang,2027-06-30,Tablet,/static/medicines/Panadol Biru.jpg,True,[]
6464,Panadol Cold & Flu,Nyeri & Demam,33571.0,173,"Paracetamol 500mg, Phenylephrine 5mg","Flu, demam, hidung tersumbat",Dosis sesuai anjuran dokter. Haleon,"Paracetamol 500mg, Phenylephrine 5mg","Flu, demam, hidung tersumbat",Mengantuk ringan,2027-11-20,Tablet,/static/medicines/Panadol Cold & Flu.jpg,True,[]
6465,Panadol Anak Sirup,Nyeri & Demam,23996.0,271,Paracetamol 120mg/5ml,Demam dan nyeri pada anak,Dosis sesuai anjuran dokter. Haleon,Paracetamol 120mg/5ml,Demam dan nyeri pada anak,Jarang,2027-11-20,Tablet,/static/medicines/Panadol Anak Sirup.jpg,True,[]
6466,Panadol Box 100s,Nyeri & Demam,18856.0,283,Paracetamol 500mg,"Demam, sakit kepala, nyeri ringan",Dosis sesuai anjuran dokter. Haleon,Paracetamol 500mg,"Demam, sakit kepala, nyeri ringan",Jarang,2026-12-31,Tablet,/static/medicines/Panadol Box 100s.jpg,True,[]
6467,Sanmol Strip 4s,Nyeri & Demam,13882.0,151,Paracetamol 500mg,Demam dan nyeri ringan,Dosis sesuai anjuran dokter. Sanbe Farma,Paracetamol 500mg,Demam dan nyeri ringan,Jarang: ruam kulit,2027-11-20,Tablet,/static/medicines/Sanmol Strip 4s.jpg,True,[]
6468,Sanmol Sirup,Nyeri & Demam,8052.0,137,Paracetamol 120mg/5ml,Demam anak,Dosis sesuai anjuran dokter. Sanbe Farma,Paracetamol 120mg/5ml,Demam anak,Jarang,2027-06-30,Tablet,/static/medicines/Sanmol Sirup.jpg,True,[]
6469,Sanmol Forte Sirup,Nyeri & Demam,26892.0,274,Paracetamol 250mg/5ml,Demam tinggi anak,Dosis sesuai anjuran dokter. Sanbe Farma,Paracetamol 250mg/5ml,Demam tinggi anak,Jarang,2027-06-30,Tablet,/static/medicines/Sanmol Forte Sirup.jpg,True,[]
6470,Sanmol Drops,Nyeri & Demam,15186.0,222,Paracetamol 100mg/ml,Demam bayi,Dosis sesuai anjuran dokter. Sanbe Farma,Paracetamol 100mg/ml,Demam bayi,Jarang,2028-03-15,Tablet,/static/medicines/Sanmol Drops.jpg,True,[]
6471,Biogesic Paracetamol Isi 4 Tablet,Nyeri & Demam,23662.0,203,Paracetamol 500mg,Demam dan nyeri ringan,Dosis sesuai anjuran dokter. Darya-Varia,Paracetamol 500mg,Demam dan nyeri ringan,Jarang,2026-12-31,Tablet,/static/medicines/Biogesic Paracetamol Isi 4 Tablet.jpg,True,[]
6472,Biogesic Sirup Rasa jeruk 60ml,Nyeri & Demam,17109.0,283,Paracetamol 120mg/5ml,Demam anak rasa jeruk,Dosis sesuai anjuran dokter. Darya-Varia,Paracetamol 120mg/5ml,Demam anak rasa jeruk,Jarang,2027-11-20,Tablet,/static/medicines/Biogesic Sirup Rasa jeruk 60ml.jpg,True,[]
6473,Sumagesic Tablet 600mg,Nyeri & Demam,29875.0,136,Paracetamol 600mg,"Sakit kepala, sakit gigi, demam berat",Dosis sesuai anjuran dokter. Darya-Varia,Paracetamol 600mg,"Sakit kepala, sakit gigi, demam berat",Gangguan hati dosis tinggi,2028-03-15,Tablet,/static/medicines/Sumagesic Tablet 600mg.jpg,True,[]
6474,Proris Tablet,Nyeri & Demam,5625.0,249,Ibuprofen 200mg,"Nyeri sendi, sakit gigi, demam",Dosis sesuai anjuran dokter. Pharos,Ibuprofen 200mg,"Nyeri sendi, sakit gigi, demam",Nyeri lambung,2028-03-15,Tablet,/static/medicines/Proris Tablet.jpg,True,[]
6475,Proris Forte Sirup 50ml,Nyeri & Demam,16165.0,295,Ibuprofen 100mg/5ml,"Demam anak, sakit gigi anak",Dosis sesuai anjuran dokter. Pharos,Ibuprofen 100mg/5ml,"Demam anak, sakit gigi anak",Nyeri lambung,2027-11-20,Tablet,/static/medicines/Proris Forte Sirup 50ml.jpg,True,[]
6476,Proris Botol 60ml,Nyeri & Demam,6871.0,212,Ibuprofen 100mg/5ml,Demam dan nyeri anak,Dosis sesuai anjuran dokter. Pharos,Ibuprofen 100mg/5ml,Demam dan nyeri anak,Nyeri lambung,2028-03-15,Tablet,/static/medicines/Proris Botol 60ml.jpg,True,[]
6477,Proris Suppositoria,Nyeri & Demam,25119.0,129,Ibuprofen 125mg,Demam tinggi anak yang tidak bisa minum,Dosis sesuai anjuran dokter. Pharos,Ibuprofen 125mg,Demam tinggi anak yang tidak bisa minum,Nyeri lambung,2028-03-15,Tablet,/static/medicines/Proris Suppositoria.jpg,True,[]
6478,Farsifen Tablet,Nyeri & Demam,32618.0,287,Ibuprofen 200mg,"Sakit gigi, demam, nyeri haid",Dosis sesuai anjuran dokter. Ifars,Ibuprofen 200mg,"Sakit gigi, demam, nyeri haid",Nyeri lambung,2026-12-31,Tablet,/static/medicines/Farsifen Tablet.jpg,True,[]
6479,Farsifen Sirup 60 ml,Nyeri & Demam,24510.0,216,Ibuprofen 100mg/5ml,Nyeri dan demam anak,Dosis sesuai anjuran dokter. Ifars,Ibuprofen 100mg/5ml,Nyeri dan demam anak,Nyeri lambung,2027-06-30,Tablet,/static/medicines/Farsifen Sirup 60 ml.jpg,True,[]
6480,Bodrex Tablet,Nyeri & Demam,22252.0,70,"Paracetamol 600mg, Caffeine 50mg","Sakit kepala, pusing",Dosis sesuai anjuran dokter. Tempo Scan,"Paracetamol 600mg, Caffeine 50mg","Sakit kepala, pusing",Berdebar,2026-12-31,Tablet,/static/medicines/Bodrex Tablet.jpg,True,[]
6481,Bodrex Extra,Nyeri & Demam,34256.0,102,"Paracetamol 600mg, Caffeine 65mg","Sakit kepala berat, migrain",Dosis sesuai anjuran dokter. Tempo Scan,"Paracetamol 600mg, Caffeine 65mg","Sakit kepala berat, migrain","Berdebar, insomnia",2028-03-15,Tablet,/static/medicines/Bodrex Extra.jpg,True,[]
6482,Bodrex Migra,Nyeri & Demam,28146.0,232,"Paracetamol, Caffeine, Ergotamine",Migrain akut,Dosis sesuai anjuran dokter. Tempo Scan,"Paracetamol, Caffeine, Ergotamine",Migrain akut,"Berdebar, mual",2026-12-31,Tablet,/static/medicines/Bodrex Migra.jpg,True,[]
6483,Bodrex Flu & Batuk,Nyeri & Demam,34944.0,233,"Paracetamol, Phenylephrine, CTM, Dextromethorphan","Flu, batuk, demam",Dosis sesuai anjuran dokter. Tempo Scan,"Paracetamol, Phenylephrine, CTM, Dextromethorphan","Flu, batuk, demam",Mengantuk,2027-11-20,Tablet,/static/medicines/Bodrex Flu & Batuk.jpg,True,[]
6484,Oskadon Tablet,Nyeri & Demam,26061.0,198,"Paracetamol 500mg, Caffeine 35mg","Sakit kepala, pusing",Dosis sesuai anjuran dokter. Supra Ferbindo,"Paracetamol 500mg, Caffeine 35mg","Sakit kepala, pusing",Sulit tidur,2028-03-15,Tablet,/static/medicines/Oskadon Tablet.jpg,True,[]
6485,Oskadon Sp,Nyeri & Demam,11747.0,98,"Paracetamol 500mg, Caffeine 50mg, Propyphenazone",Sakit kepala berat,Dosis sesuai anjuran dokter. Supra Ferbindo,"Paracetamol 500mg, Caffeine 50mg, Propyphenazone",Sakit kepala berat,"Berdebar, insomnia",2028-03-15,Tablet,/static/medicines/Oskadon Sp.jpg,True,[]
6486,Paramex Nyeri Otot,Nyeri & Demam,5614.0,211,"Paracetamol 250mg, Propyphenazone, Caffeine, Methocarbamol","Nyeri otot, pegal",Dosis sesuai anjuran dokter. Konimex,"Paracetamol 250mg, Propyphenazone, Caffeine, Methocarbamol","Nyeri otot, pegal","Berdebar, mengantuk",2026-12-31,Tablet,/static/medicines/Paramex Nyeri Otot.jpg,True,[]
6487,Paramex Tube 30g,Nyeri & Demam,22927.0,136,"Paracetamol 250mg, Propyphenazone, Caffeine",Sakit kepala,Dosis sesuai anjuran dokter. Konimex,"Paracetamol 250mg, Propyphenazone, Caffeine",Sakit kepala,Berdebar,2026-12-31,Tablet,/static/medicines/Paramex Tube 30g.jpg,True,[]
6488,Inzana Tablet Kunyah,Nyeri & Demam,19583.0,122,Aspirin 80mg,Demam anak ringan,Dosis sesuai anjuran dokter. Konimex,Aspirin 80mg,Demam anak ringan,Iritasi lambung,2027-06-30,Tablet,/static/medicines/Inzana Tablet Kunyah.jpg,True,[]
6489,Inzana Box 30s,Nyeri & Demam,19845.0,221,Aspirin 80mg,Demam anak,Dosis sesuai anjuran dokter. Konimex,Aspirin 80mg,Demam anak,Iritasi lambung,2027-06-30,Tablet,/static/medicines/Inzana Box 30s.jpg,True,[]
6490,Inzana Sachet 5ml,Nyeri & Demam,11026.0,210,Paracetamol sirup,Demam anak sachet praktis,Dosis sesuai anjuran dokter. Konimex,Paracetamol sirup,Demam anak sachet praktis,Jarang,2026-12-31,Tablet,/static/medicines/Inzana Sachet 5ml.jpg,True,[]
6491,Contrexyn Tablet Anak,Nyeri & Demam,34802.0,116,"Aspirin 80mg, Vitamin C",Demam anak,Dosis sesuai anjuran dokter. Tempo Scan,"Aspirin 80mg, Vitamin C",Demam anak,Iritasi lambung,2027-06-30,Tablet,/static/medicines/Contrexyn Tablet Anak.jpg,True,[]
6492,Contrexyn Sirup,Nyeri & Demam,13414.0,99,Paracetamol 120mg/5ml,Demam anak,Dosis sesuai anjuran dokter. Tempo Scan,Paracetamol 120mg/5ml,Demam anak,Jarang,2026-12-31,Tablet,/static/medicines/Contrexyn Sirup.jpg,True,[]
6493,Contrexyn Strip 4s,Nyeri & Demam,20092.0,181,Paracetamol 500mg,Demam dan nyeri,Dosis sesuai anjuran dokter. Tempo Scan,Paracetamol 500mg,Demam dan nyeri,Jarang,2026-12-31,Tablet,/static/medicines/Contrexyn Strip 4s.jpg,True,[]
6494,Contrexyn Box isi 100 tablet,Nyeri & Demam,34504.0,136,Paracetamol 500mg,Demam dan nyeri stok keluarga,Dosis sesuai anjuran dokter. Tempo Scan,Paracetamol 500mg,Demam dan nyeri stok keluarga,Jarang,2027-06-30,Tablet,/static/medicines/Contrexyn Box isi 100 tablet.jpg,True,[]
6495,Dumin Tablet,Nyeri & Demam,11941.0,149,Paracetamol 500mg,Demam dan nyeri,Dosis sesuai anjuran dokter. Actavis,Paracetamol 500mg,Demam dan nyeri,Jarang,2028-03-15,Tablet,/static/medicines/Dumin Tablet.jpg,True,[]
6496,Dumin Botol 60ml,Nyeri & Demam,9561.0,253,Paracetamol 120mg/5ml,Demam anak,Dosis sesuai anjuran dokter. Actavis,Paracetamol 120mg/5ml,Demam anak,Jarang,2028-03-15,Tablet,/static/medicines/Dumin Botol 60ml.jpg,True,[]
6497,Dumin Rectal Tube 125mg,Nyeri & Demam,8017.0,150,Paracetamol 125mg,Demam anak yang tidak bisa minum obat,Dosis sesuai anjuran dokter. Actavis,Paracetamol 125mg,Demam anak yang tidak bisa minum obat,Jarang,2028-03-15,Tablet,/static/medicines/Dumin Rectal Tube 125mg.jpg,True,[]
6498,Dumin Rectal Tube 250mg,Nyeri & Demam,6004.0,92,Paracetamol 250mg,Demam anak besar/remaja yang tidak bisa minum,Dosis sesuai anjuran dokter. Actavis,Paracetamol 250mg,Demam anak besar/remaja yang tidak bisa minum,Jarang,2028-03-15,Tablet,/static/medicines/Dumin Rectal Tube 250mg.jpg,True,[]
6499,Pamol Tablet,Nyeri & Demam,32493.0,142,Paracetamol 500mg,Demam dan nyeri,Dosis sesuai anjuran dokter. Interbat,Paracetamol 500mg,Demam dan nyeri,Jarang,2026-12-31,Tablet,/static/medicines/Pamol Tablet.jpg,True,[]
6500,Pamol Botol 120ml,Nyeri & Demam,5466.0,181,Paracetamol 120mg/5ml,Demam anak,Dosis sesuai anjuran dokter. Interbat,Paracetamol 120mg/5ml,Demam anak,Jarang,2026-12-31,Tablet,/static/medicines/Pamol Botol 120ml.jpg,True,[]
6501,Pamol Suppositoria,Nyeri & Demam,20248.0,237,Paracetamol 150mg,Demam anak yang sulit minum obat,Dosis sesuai anjuran dokter. Interbat,Paracetamol 150mg,Demam anak yang sulit minum obat,Jarang,2026-12-31,Tablet,/static/medicines/Pamol Suppositoria.jpg,True,[]
6502,Fasidol Strip 10s,Nyeri & Demam,27303.0,113,Paracetamol 500mg,Demam dan nyeri,Dosis sesuai anjuran dokter. Ifars,Paracetamol 500mg,Demam dan nyeri,Jarang,2027-11-20,Tablet,/static/medicines/Fasidol Strip 10s.jpg,True,[]
6503,Fasidol Forte,Nyeri & Demam,29302.0,79,Paracetamol 650mg,"Demam tinggi, sakit kepala berat",Dosis sesuai anjuran dokter. Ifars,Paracetamol 650mg,"Demam tinggi, sakit kepala berat",Jarang,2028-03-15,Tablet,/static/medicines/Fasidol Forte.jpg,True,[]
6504,Fasidol Sirup,Nyeri & Demam,25320.0,233,Paracetamol 120mg/5ml,Demam anak,Dosis sesuai anjuran dokter. Ifars,Paracetamol 120mg/5ml,Demam anak,Jarang,2028-03-15,Tablet,/static/medicines/Fasidol Sirup.jpg,True,[]
6505,Fasidol Drops,Nyeri & Demam,28864.0,73,Paracetamol 100mg/ml,Demam bayi,Dosis sesuai anjuran dokter. Ifars,Paracetamol 100mg/ml,Demam bayi,Jarang,2028-03-15,Tablet,/static/medicines/Fasidol Drops.jpg,True,[]
6506,Tempra Sirup,Nyeri & Demam,34952.0,141,Paracetamol 160mg/5ml,Demam anak,Dosis sesuai anjuran dokter. Taisho,Paracetamol 160mg/5ml,Demam anak,Jarang,2027-06-30,Tablet,/static/medicines/Tempra Sirup.jpg,True,[]
6507,Tempra Forte Sirup,Nyeri & Demam,26557.0,288,Paracetamol 250mg/5ml,Demam tinggi anak,Dosis sesuai anjuran dokter. Taisho,Paracetamol 250mg/5ml,Demam tinggi anak,Jarang,2028-03-15,Tablet,/static/medicines/Tempra Forte Sirup.jpg,True,[]
6508,Tempra Drops,Nyeri & Demam,17274.0,195,Paracetamol 80mg/ml,Demam bayi,Dosis sesuai anjuran dokter. Taisho,Paracetamol 80mg/ml,Demam bayi,Jarang,2026-12-31,Tablet,/static/medicines/Tempra Drops.jpg,True,[]
6509,Ponstan Kaplet,Nyeri & Demam,17303.0,134,Asam Mefenamat 500mg,"Nyeri haid, sakit gigi, nyeri sendi akut",Dosis sesuai anjuran dokter. Pfizer,Asam Mefenamat 500mg,"Nyeri haid, sakit gigi, nyeri sendi akut","Nyeri lambung, mual",2028-03-15,Tablet,https://placehold.co/400x300/f8fafc/ef4444?text=Ponstan+Kaplet,True,[]
6510,Mefinal Tablet,Nyeri & Demam,33533.0,177,Asam Mefenamat 500mg,Nyeri dan radang,Dosis sesuai anjuran dokter. Sanbe Farma,Asam Mefenamat 500mg,Nyeri dan radang,Iritasi lambung,2027-11-20,Tablet,https://placehold.co/400x300/f8fafc/ef4444?text=Mefinal+Tablet,True,[]
6511,Antalgin Tablet,Nyeri & Demam,12116.0,300,Metampiron 500mg,"Nyeri hebat, sakit gigi parah",Dosis sesuai anjuran dokter. Generic,Metampiron 500mg,"Nyeri hebat, sakit gigi parah",Agranulositosis (jarang),2027-06-30,Tablet,https://placehold.co/400x300/f8fafc/ef4444?text=Antalgin+Tablet,True,[]
6512,Fimestan Strip 4s,Nyeri & Demam,18208.0,113,Ibuprofen 400mg,"Nyeri haid berat, nyeri sendi",Dosis sesuai anjuran dokter. Bernofarm,Ibuprofen 400mg,"Nyeri haid berat, nyeri sendi",Nyeri lambung,2027-11-20,Tablet,https://placehold.co/400x300/f8fafc/ef4444?text=Fimestan+Strip+4s,True,[]
6513,Feminax Strip 4s,Nyeri & Demam,15563.0,151,"Paracetamol 500mg, Hyoscine Butylbromide 10mg",Nyeri haid dengan kram,Dosis sesuai anjuran dokter. Bayer,"Paracetamol 500mg, Hyoscine Butylbromide 10mg",Nyeri haid dengan kram,"Mulut kering, mengantuk",2026-12-31,Tablet,https://placehold.co/400x300/f8fafc/ef4444?text=Feminax+Strip+4s,True,[]
6514,Dolgesic Tablet,Nyeri & Demam,10677.0,220,Piroxicam 10mg,"Nyeri sendi, rematik ringan (OTC di banyak apotek)",Dosis sesuai anjuran dokter. Dexa Medica,Piroxicam 10mg,"Nyeri sendi, rematik ringan (OTC di banyak apotek)",Nyeri lambung,2027-11-20,Tablet,https://placehold.co/400x300/f8fafc/ef4444?text=Dolgesic+Tablet,True,[]
6515,Neuralgin Tablet,Nyeri & Demam,30797.0,134,"Vitamin B1, B6, B12","Nyeri saraf, kesemutan, pegal linu",Dosis sesuai anjuran dokter. Kalbe,"Vitamin B1, B6, B12","Nyeri saraf, kesemutan, pegal linu",Jarang,2028-03-15,Tablet,https://placehold.co/400x300/f8fafc/ef4444?text=Neuralgin+Tablet,True,[]
6516,OBH Combi Batuk Berdahak Menthol,Obat Batuk,44882.0,140,"Succus liquiritiae, Paracetamol, Ephedrine",Batuk berdahak,Dosis sesuai anjuran dokter. Combiphar,"Succus liquiritiae, Paracetamol, Ephedrine",Batuk berdahak,Mengantuk,2027-06-30,Tablet,/static/medicines/OBH Combi Batuk Berdahak Menthol.jpg,True,[]
6517,OBH Combi Batuk Berdahak Jahe,Obat Batuk,12189.0,102,"Succus liquiritiae, Jahe, Paracetamol",Batuk berdahak hangat,Dosis sesuai anjuran dokter. Combiphar,"Succus liquiritiae, Jahe, Paracetamol",Batuk berdahak hangat,Mengantuk,2027-11-20,Tablet,/static/medicines/OBH Combi Batuk Berdahak Jahe.jpg,True,[]
6518,OBH Combi Batuk Flu Anak,Obat Batuk,39270.0,135,"Succus liquiritiae, CTM, Paracetamol, Glycerine",Batuk flu anak,Dosis sesuai anjuran dokter. Combiphar,"Succus liquiritiae, CTM, Paracetamol, Glycerine",Batuk flu anak,Mengantuk,2027-11-20,Tablet,/static/medicines/OBH Combi Batuk Flu Anak.jpg,True,[]
6519,OBH Combi Batuk Flu Dewasa,Obat Batuk,42809.0,137,"Succus liquiritiae, Paracetamol, Ephedrine, CTM",Batuk flu dewasa,Dosis sesuai anjuran dokter. Combiphar,"Succus liquiritiae, Paracetamol, Ephedrine, CTM",Batuk flu dewasa,Mengantuk,2027-11-20,Tablet,/static/medicines/OBH Combi Batuk Flu Dewasa.jpg,True,[]
6520,Woods Peppermint Expectorant 60ml,Obat Batuk,10572.0,223,"Guaifenesin, Bromhexine",Batuk berdahak,Dosis sesuai anjuran dokter. Kalbe,"Guaifenesin, Bromhexine",Batuk berdahak,Mual ringan,2027-11-20,Tablet,/static/medicines/Woods Peppermint Expectorant 60ml.jpg,True,[]
6521,Woods Peppermint Expectorant 100ml,Obat Batuk,13534.0,282,"Guaifenesin, Bromhexine",Batuk berdahak,Dosis sesuai anjuran dokter. Kalbe,"Guaifenesin, Bromhexine",Batuk berdahak,Mual ringan,2027-06-30,Tablet,/static/medicines/Woods Peppermint Expectorant 100ml.jpg,True,[]
6522,Woods Antitussive 60ml,Obat Batuk,19205.0,152,"Dextromethorphan, Guaifenesin",Batuk kering,Dosis sesuai anjuran dokter. Kalbe,"Dextromethorphan, Guaifenesin",Batuk kering,Mengantuk,2027-11-20,Tablet,/static/medicines/Woods Antitussive 60ml.jpg,True,[]
6523,Woods Antitussive 100ml,Obat Batuk,25942.0,74,"Dextromethorphan, Guaifenesin",Batuk kering kemasan besar,Dosis sesuai anjuran dokter. Kalbe,"Dextromethorphan, Guaifenesin",Batuk kering kemasan besar,Mengantuk,2027-11-20,Tablet,/static/medicines/Woods Antitussive 100ml.jpg,True,[]
6524,Siladex Mucolytic & Expectorant 60ml,Obat Batuk,40054.0,221,"Bromhexine, Guaifenesin",Batuk berdahak bebas gula,Dosis sesuai anjuran dokter. Konimex,"Bromhexine, Guaifenesin",Batuk berdahak bebas gula,Mual,2027-11-20,Tablet,/static/medicines/Siladex Mucolytic & Expectorant 60ml.jpg,True,[]
6525,Siladex Antitussive 60ml,Obat Batuk,33029.0,284,Dextromethorphan,Batuk kering bebas gula,Dosis sesuai anjuran dokter. Konimex,Dextromethorphan,Batuk kering bebas gula,Mengantuk,2028-03-15,Tablet,/static/medicines/Siladex Antitussive 60ml.jpg,True,[]
6526,Siladex Cough & Cold,Obat Batuk,9715.0,64,"Bromhexine, Paracetamol, Phenylephrine",Batuk dan flu,Dosis sesuai anjuran dokter. Konimex,"Bromhexine, Paracetamol, Phenylephrine",Batuk dan flu,Mengantuk,2028-03-15,Tablet,/static/medicines/Siladex Cough & Cold.jpg,True,[]
6527,Siladex Flu,Obat Batuk,30533.0,105,"Paracetamol, Phenylephrine, CTM",Flu dan batuk ringan,Dosis sesuai anjuran dokter. Konimex,"Paracetamol, Phenylephrine, CTM",Flu dan batuk ringan,Mengantuk,2027-11-20,Tablet,/static/medicines/Siladex Flu.jpg,True,[]
6528,Komix OBH Sachet,Obat Batuk,22534.0,199,"Dextromethorphan, Glycyrrhiza",Batuk ringan praktis,Dosis sesuai anjuran dokter. Bintang Toedjoe,"Dextromethorphan, Glycyrrhiza",Batuk ringan praktis,Mengantuk,2028-03-15,Tablet,/static/medicines/Komix OBH Sachet.jpg,True,[]
6529,Komix Peppermint Sachet,Obat Batuk,34859.0,157,"Dextromethorphan, Menthol",Batuk dengan sensasi dingin,Dosis sesuai anjuran dokter. Bintang Toedjoe,"Dextromethorphan, Menthol",Batuk dengan sensasi dingin,Mengantuk,2027-06-30,Tablet,/static/medicines/Komix Peppermint Sachet.jpg,True,[]
6530,Komix Jeruk Nipis Sachet,Obat Batuk,10340.0,237,"Dextromethorphan, Citrus Limon Extract",Batuk rasa jeruk nipis,Dosis sesuai anjuran dokter. Bintang Toedjoe,"Dextromethorphan, Citrus Limon Extract",Batuk rasa jeruk nipis,Mengantuk,2027-06-30,Tablet,/static/medicines/Komix Jeruk Nipis Sachet.jpg,True,[]
6531,Komix Jahe Sachet,Obat Batuk,19842.0,165,"Dextromethorphan, Jahe Extract",Batuk rasa jahe hangat,Dosis sesuai anjuran dokter. Bintang Toedjoe,"Dextromethorphan, Jahe Extract",Batuk rasa jahe hangat,Mengantuk,2028-03-15,Tablet,/static/medicines/Komix Jahe Sachet.jpg,True,[]
6532,Komix Herbal Sachet,Obat Batuk,41976.0,262,"Dextromethorphan, Madu, Propolis",Batuk herbal madu,Dosis sesuai anjuran dokter. Bintang Toedjoe,"Dextromethorphan, Madu, Propolis",Batuk herbal madu,Jarang,2026-12-31,Tablet,/static/medicines/Komix Herbal Sachet.jpg,True,[]
6533,Komix Botol 120ml,Obat Batuk,40599.0,55,"Dextromethorphan, Guaifenesin",Batuk kemasan botol,Dosis sesuai anjuran dokter. Bintang Toedjoe,"Dextromethorphan, Guaifenesin",Batuk kemasan botol,Mengantuk,2026-12-31,Tablet,/static/medicines/Komix Botol 120ml.jpg,True,[]
6534,Komix Box 50s,Obat Batuk,34474.0,125,"Dextromethorphan, Guaifenesin",Batuk isi banyak,Dosis sesuai anjuran dokter. Bintang Toedjoe,"Dextromethorphan, Guaifenesin",Batuk isi banyak,Mengantuk,2026-12-31,Tablet,/static/medicines/Komix Box 50s.jpg,True,[]
6535,Laserin Sirup 30ml,Obat Batuk,38955.0,129,"Jahe Merah, Cengkeh, Daun Sirih",Batuk herbal,Dosis sesuai anjuran dokter. Mecosin,"Jahe Merah, Cengkeh, Daun Sirih",Batuk herbal,Jarang,2026-12-31,Tablet,/static/medicines/Laserin Sirup 30ml.jpg,True,[]
6536,Laserin Botol 30ml,Obat Batuk,11230.0,100,"Jahe Merah, Cengkeh",Batuk ringan herbal,Dosis sesuai anjuran dokter. Mecosin,"Jahe Merah, Cengkeh",Batuk ringan herbal,Jarang,2027-11-20,Tablet,/static/medicines/Laserin Botol 30ml.jpg,True,[]
6537,Laserin Sirup 110ml,Obat Batuk,44787.0,241,"Jahe Merah, Cengkeh, Daun Sirih",Batuk herbal kemasan besar,Dosis sesuai anjuran dokter. Mecosin,"Jahe Merah, Cengkeh, Daun Sirih",Batuk herbal kemasan besar,Jarang,2027-11-20,Tablet,/static/medicines/Laserin Sirup 110ml.jpg,True,[]
6538,Bisolvon Tablet,Obat Batuk,43487.0,76,Bromhexine HCl 8mg,Mengencerkan dahak kental,Dosis sesuai anjuran dokter. Sanofi,Bromhexine HCl 8mg,Mengencerkan dahak kental,Mual ringan,2027-11-20,Tablet,/static/medicines/Bisolvon Tablet.jpg,True,[]
6539,Bisolvon Strip 10s,Obat Batuk,37270.0,54,Bromhexine HCl 8mg,Mengencerkan dahak,Dosis sesuai anjuran dokter. Sanofi,Bromhexine HCl 8mg,Mengencerkan dahak,Mual ringan,2028-03-15,Tablet,/static/medicines/Bisolvon Strip 10s.jpg,True,[]
6540,Bisolvon Extra Sirup 60ml,Obat Batuk,21298.0,74,Bromhexine HCl,Mengencerkan dahak anak,Dosis sesuai anjuran dokter. Sanofi,Bromhexine HCl,Mengencerkan dahak anak,Mual,2028-03-15,Tablet,/static/medicines/Bisolvon Extra Sirup 60ml.jpg,True,[]
