id,name,category,price,stock,description,indication,dosage,ingredients,benefits,side_effects,expiry,type,photo,is_active,tags
1771,Stimuno Gummy,Vitamin & Suplemen,116666.0,168,Ekstrak Phyllanthus niruri,Memelihara daya tahan tubuh,Dosis sesuai anjuran dokter. Dexa Medica,Ekstrak Phyllanthus niruri,Memelihara daya tahan tubuh,Mual ringan,2028-03-15,Tablet,,True,[]
1772,Betadine Solution 10,Obat Kulit & Luka,65431.0,296,Povidone Iodine 10%,Antiseptik luka ringan,Dosis sesuai anjuran dokter. Mundipharma,Povidone Iodine 10%,Antiseptik luka ringan,Iritasi lokal; rasa perih,2028-03-15,Tablet,,True,[]
1773,Bejo Jahe Merah Sirup,Herbal & Tradisional,15307.0,247,Jahe merah; Herbal extract,Masuk angin; tenggorokan tidak nyaman,Dosis sesuai anjuran dokter. Bintang Toedjoe,Jahe merah; Herbal extract,Masuk angin; tenggorokan tidak nyaman,Rasa hangat di lambung,2028-03-15,Tablet,,True,[]
1774,Siladex Mucolytic Sachet,Obat Batuk,28366.0,75,Bromhexine; Guaifenesin,Batuk berdahak,Dosis sesuai anjuran dokter. Konimex,Bromhexine; Guaifenesin,Batuk berdahak,Mual; pusing; gangguan lambung,2026-12-31,Tablet,,True,[]
1775,Mebo Ointment Salep,Obat Kulit & Luka,22359.0,130,Herbal burn ointment,Luka bakar ringan; kulit iritasi,Dosis sesuai anjuran dokter. Mebo,Herbal burn ointment,Luka bakar ringan; kulit iritasi,Iritasi lokal jarang,2027-11-20,Tablet,,True,[]
1776,Biogesic Tablet,Nyeri & Demam,26917.0,146,Paracetamol 500mg,Demam; nyeri ringan,Dosis sesuai anjuran dokter. Kalbe,Paracetamol 500mg,Demam; nyeri ringan,Mual; ruam alergi jarang,2027-11-20,Tablet,,True,[]
1777,Voltaren Emulgel 30,Obat Oles Nyeri,16571.0,262,Diclofenac Diethylamine,Nyeri otot dan sendi ringan,Dosis sesuai anjuran dokter. GSK,Diclofenac Diethylamine,Nyeri otot dan sendi ringan,Iritasi kulit; kemerahan,2027-06-30,Tablet,,True,[]
1778,Waisan Sachet,Lambung & Maag,44138.0,280,Antasida; Sodium Bicarbonate,Maag; perih lambung,Dosis sesuai anjuran dokter. Bintang Toedjoe,Antasida; Sodium Bicarbonate,Maag; perih lambung,Sendawa; perut terasa penuh,2027-11-20,Tablet,,True,[]
1779,Salep 88 Solution,Antijamur & Kulit,21817.0,141,Salicylic Acid; Benzoic Acid; Sulfur,Panu; kurap; gatal jamur,Dosis sesuai anjuran dokter. Meccaya,Salicylic Acid; Benzoic Acid; Sulfur,Panu; kurap; gatal jamur,Iritasi lokal; rasa panas,2028-03-15,Tablet,,True,[]
1780,Adem Sari Sirup,Herbal & Tradisional,24094.0,292,Citrus aurantifolia; Vitamin C; Mineral,Panas dalam; sariawan ringan,Dosis sesuai anjuran dokter. Sari Enesis,Citrus aurantifolia; Vitamin C; Mineral,Panas dalam; sariawan ringan,Nyeri lambung ringan,2027-06-30,Tablet,,True,[]
1781,Enkasari Troches,Mulut & Tenggorokan,37110.0,124,Ekstrak herbal,Sariawan; bau mulut,Dosis sesuai anjuran dokter. Konimex,Ekstrak herbal,Sariawan; bau mulut,Alergi herbal jarang,2027-11-20,Tablet,,True,[]
1782,Sofra-Tulle Cair,Obat Kulit & Luka,43111.0,111,Framycetin Sulfate dressing,Penutup luka dengan antibiotik topikal,Dosis sesuai anjuran dokter. Sanofi,Framycetin Sulfate dressing,Penutup luka dengan antibiotik topikal,Alergi lokal,2028-03-15,Tablet,,True,[]
1783,Rivanol Solution,Obat Kulit & Luka,51635.0,166,Ethacridine Lactate,Membersihkan luka ringan,Dosis sesuai anjuran dokter. Generic,Ethacridine Lactate,Membersihkan luka ringan,Iritasi lokal jarang,2026-12-31,Tablet,,True,[]
